manager_id                              salarymin
--------------------------------------- ---------------------------------------
0                                       14583.26
102                                     9000.00
205                                     8300.00
145                                     7000.00
146                                     7000.00
108                                     6900.00
147                                     6200.00
149                                     6200.00
148                                     6100.00
201                                     6000.00
100                                     5800.00
101                                     4400.00
103                                     4200.00
114                                     2500.00
123                                     2500.00
124                                     2500.00
120                                     2200.00
122                                     2200.00
121                                     2100.00

(19 rows affected)


Completion time: 2022-09-08T18:26:10.3436564+05:30
